Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,3970.000000,4000.000000,3900.000000,3910.000000,3278.988770,52094000
2020-01-03,3960.000000,3980.000000,3930.000000,3980.000000,3337.692139,70032900
2020-01-06,3930.000000,3970.000000,3930.000000,3960.000000,3320.919434,42908900
2020-01-07,3930.000000,3970.000000,3920.000000,3940.000000,3304.147217,51837600
2020-01-08,3920.000000,3950.000000,3900.000000,3900.000000,3270.602295,52402600
2020-01-09,3920.000000,3970.000000,3920.000000,3960.000000,3320.919434,37580300
2020-01-10,3980.000000,3990.000000,3950.000000,3980.000000,3337.692139,48099000
2020-01-13,4000.000000,4030.000000,3990.000000,4030.000000,3379.622803,61913800
2020-01-14,3980.000000,4000.000000,3940.000000,3950.000000,3312.533203,95058600
2020-01-15,3960.000000,3960.000000,3870.000000,3880.000000,3253.830322,147583300
2020-01-16,3890.000000,3890.000000,3830.000000,3850.000000,3228.671631,118903100
2020-01-17,3860.000000,3870.000000,3800.000000,3810.000000,3195.126953,119904100
2020-01-20,3820.000000,3840.000000,3800.000000,3810.000000,3195.126953,73599200
2020-01-21,3810.000000,3900.000000,3810.000000,3890.000000,3262.216553,78014400
2020-01-22,3890.000000,3890.000000,3850.000000,3860.000000,3237.057861,45839800
2020-01-23,3860.000000,3880.000000,3830.000000,3880.000000,3253.830322,41077400
2020-01-24,3880.000000,3930.000000,3860.000000,3920.000000,3287.375000,58524000
2020-01-27,3920.000000,3920.000000,3830.000000,3840.000000,3220.285889,33081800
2020-01-28,3810.000000,3840.000000,3800.000000,3830.000000,3211.899658,56210000
2020-01-29,3840.000000,3900.000000,3840.000000,3900.000000,3270.602295,51929800
2020-01-30,3910.000000,3910.000000,3850.000000,3860.000000,3237.057861,60391600
2020-01-31,3890.000000,3890.000000,3780.000000,3800.000000,3186.740723,120447900
2020-02-03,3800.000000,3820.000000,3730.000000,3740.000000,3136.424316,68360600
2020-02-04,3810.000000,3810.000000,3730.000000,3760.000000,3153.196289,77259600
2020-02-05,3760.000000,3780.000000,3720.000000,3770.000000,3161.582520,68150800
2020-02-06,3800.000000,3800.000000,3750.000000,3760.000000,3153.196289,56261500
2020-02-07,3780.000000,3820.000000,3760.000000,3790.000000,3178.354980,53578900
2020-02-10,3800.000000,3850.000000,3780.000000,3810.000000,3195.126953,86588500
2020-02-11,3810.000000,3830.000000,3780.000000,3790.000000,3178.354980,50248200
2020-02-12,3800.000000,3850.000000,3780.000000,3820.000000,3203.513428,73840300
2020-02-13,3820.000000,3830.000000,3710.000000,3730.000000,3128.038086,66699800
2020-02-14,3680.000000,3730.000000,3640.000000,3640.000000,3052.562500,108793300
2020-02-17,3630.000000,3660.000000,3590.000000,3610.000000,3027.403809,94887800
2020-02-18,3590.000000,3660.000000,3590.000000,3620.000000,3035.790039,94382900
2020-02-19,3620.000000,3640.000000,3590.000000,3620.000000,3035.790039,63717800
2020-02-20,3620.000000,3650.000000,3600.000000,3630.000000,3044.176270,53035400
2020-02-21,3650.000000,3710.000000,3640.000000,3690.000000,3094.493408,86862600
2020-02-24,3670.000000,3720.000000,3630.000000,3640.000000,3052.562500,72610600
2020-02-25,3600.000000,3670.000000,3590.000000,3590.000000,3010.631836,73990700
2020-02-26,3530.000000,3550.000000,3450.000000,3510.000000,2943.542236,133449900
2020-02-27,3510.000000,3550.000000,3420.000000,3470.000000,2909.997559,88389400
2020-02-28,3390.000000,3490.000000,3340.000000,3490.000000,2926.769775,151751800
2020-03-02,3470.000000,3550.000000,3440.000000,3440.000000,2884.839111,96802900
2020-03-03,3510.000000,3660.000000,3470.000000,3620.000000,3035.790039,114698200
2020-03-04,3640.000000,3840.000000,3630.000000,3830.000000,3211.899658,136081000
2020-03-05,3820.000000,3880.000000,3760.000000,3830.000000,3211.899658,101235000
2020-03-06,3730.000000,3790.000000,3710.000000,3750.000000,3144.810059,86476000
2020-03-09,3560.000000,3620.000000,3500.000000,3500.000000,2935.156250,109347300
2020-03-10,3480.000000,3620.000000,3480.000000,3490.000000,2926.769775,119718000
2020-03-11,3470.000000,3480.000000,3370.000000,3400.000000,2851.294678,115486900
2020-03-12,3300.000000,3440.000000,3270.000000,3310.000000,2775.819092,84363800
2020-03-13,3310.000000,3310.000000,3310.000000,3310.000000,2775.819092,0
2020-03-16,3300.000000,3300.000000,3160.000000,3160.000000,2650.026855,115972300
2020-03-17,3160.000000,3160.000000,2940.000000,2940.000000,2465.531006,150122700
2020-03-18,3010.000000,3080.000000,2740.000000,2810.000000,2356.511230,150147300
2020-03-19,2810.000000,2810.000000,2620.000000,2620.000000,2197.174316,138987300
2020-03-20,2660.000000,2990.000000,2450.000000,2880.000000,2415.214111,267694700
2020-03-23,2880.000000,2880.000000,2680.000000,2680.000000,2247.490967,86157200
2020-03-24,2700.000000,2880.000000,2570.000000,2620.000000,2197.174316,243778900
2020-03-26,2550.000000,3080.000000,2550.000000,2980.000000,2499.075928,267369500
2020-03-27,3050.000000,3270.000000,3050.000000,3090.000000,2591.323486,200952500
2020-03-30,3060.000000,3180.000000,2880.000000,3140.000000,2633.254150,134474300
2020-03-31,3180.000000,3300.000000,3120.000000,3160.000000,2650.026855,151302900
2020-04-01,3180.000000,3200.000000,3040.000000,3100.000000,2599.709717,104550600
2020-04-02,3100.000000,3130.000000,3020.000000,3130.000000,2624.868164,92893600
2020-04-03,3150.000000,3220.000000,3120.000000,3200.000000,2683.571533,83469200
2020-04-06,3280.000000,3330.000000,3180.000000,3330.000000,2792.591309,115495000
2020-04-07,3390.000000,3500.000000,3200.000000,3220.000000,2700.343750,166425600
2020-04-08,3220.000000,3220.000000,3050.000000,3110.000000,2608.095947,124553900
2020-04-09,3110.000000,3180.000000,3030.000000,3120.000000,2616.481934,122622400
2020-04-13,3140.000000,3230.000000,3130.000000,3180.000000,2666.799072,45469500
2020-04-14,3200.000000,3250.000000,3160.000000,3240.000000,2717.115967,79114600
2020-04-15,3250.000000,3300.000000,3090.000000,3110.000000,2608.095947,69832000
2020-04-16,3110.000000,3110.000000,3000.000000,3000.000000,2515.848145,109582500
2020-04-17,3050.000000,3250.000000,3050.000000,3230.000000,2708.729980,127860400
2020-04-20,3270.000000,3270.000000,3120.000000,3120.000000,2616.481934,77306900
2020-04-21,3120.000000,3130.000000,3050.000000,3070.000000,2574.551270,43239400
2020-04-22,3050.000000,3270.000000,3030.000000,3160.000000,2650.026855,126278300
2020-04-23,3200.000000,3240.000000,3070.000000,3070.000000,2574.551270,117391500
2020-04-24,3100.000000,3160.000000,3080.000000,3090.000000,2591.323486,84061400
2020-04-27,3120.000000,3200.000000,3100.000000,3150.000000,2641.640625,85475400
2020-04-28,3170.000000,3200.000000,3140.000000,3160.000000,2650.026855,80212700
2020-04-29,3200.000000,3390.000000,3100.000000,3350.000000,2809.364014,154902100
2020-04-30,3400.000000,3540.000000,3350.000000,3500.000000,2935.156250,163170100
2020-05-04,3400.000000,3400.000000,3260.000000,3320.000000,2784.205078,108988600
2020-05-05,3320.000000,3390.000000,3320.000000,3320.000000,2784.205078,74036700
2020-05-06,3300.000000,3340.000000,3220.000000,3240.000000,2717.115967,86395000
2020-05-08,3270.000000,3290.000000,3150.000000,3190.000000,2675.185303,143584400
2020-05-11,3220.000000,3250.000000,3210.000000,3220.000000,2700.343750,58473100
2020-05-12,3270.000000,3270.000000,3100.000000,3150.000000,2641.640625,138978700
2020-05-13,3150.000000,3170.000000,3080.000000,3160.000000,2650.026855,73238700
2020-05-14,3110.000000,3140.000000,3060.000000,3070.000000,2574.551270,101581300
2020-05-15,3100.000000,3130.000000,3020.000000,3100.000000,2599.709717,114753900
2020-05-18,3100.000000,3220.000000,3100.000000,3220.000000,2700.343750,108828800
2020-05-19,3250.000000,3330.000000,3250.000000,3270.000000,2742.274414,97387100
2020-05-20,3200.000000,3260.000000,3180.000000,3180.000000,2666.799072,76086600
2020-05-26,3150.000000,3280.000000,3130.000000,3250.000000,2725.502197,105792900
2020-05-27,3250.000000,3270.000000,3150.000000,3170.000000,2658.412842,128693900
2020-05-28,3180.000000,3210.000000,3130.000000,3130.000000,2624.868164,177385100
2020-05-29,3100.000000,3150.000000,3080.000000,3150.000000,2641.640625,276092100
2020-06-02,3160.000000,3270.000000,3120.000000,3250.000000,2725.502197,174790600
2020-06-03,3280.000000,3320.000000,3230.000000,3290.000000,2759.046631,216200900
2020-06-04,3320.000000,3390.000000,3250.000000,3300.000000,2767.432861,167708600
2020-06-05,3360.000000,3360.000000,3200.000000,3230.000000,2708.729980,188420700
2020-06-08,3250.000000,3290.000000,3220.000000,3230.000000,2708.729980,221641600
2020-06-09,3250.000000,3270.000000,3140.000000,3140.000000,2633.254150,171214500
2020-06-10,3150.000000,3190.000000,3100.000000,3110.000000,2608.095947,263483700
2020-06-11,3120.000000,3150.000000,3060.000000,3080.000000,2582.937500,175767800
2020-06-12,3080.000000,3080.000000,2970.000000,3030.000000,2541.006592,260087300
2020-06-15,3060.000000,3150.000000,3030.000000,3090.000000,2591.323486,241625700
2020-06-16,3150.000000,3220.000000,3130.000000,3200.000000,2683.571533,194424800
2020-06-17,3210.000000,3230.000000,3140.000000,3210.000000,2691.957764,177784900
2020-06-18,3210.000000,3350.000000,3180.000000,3280.000000,2750.660645,235586600
2020-06-19,3300.000000,3340.000000,3250.000000,3280.000000,2750.660645,227358800
2020-06-22,3290.000000,3300.000000,3180.000000,3200.000000,2683.571533,159776500
2020-06-23,3200.000000,3200.000000,3120.000000,3130.000000,2624.868164,167271000
2020-06-24,3150.000000,3230.000000,3140.000000,3180.000000,2666.799072,170895600
